,nav
2025-05-07 07:00:00+00:00,10538.111888764855
2025-05-07 08:00:00+00:00,10537.870950703507
2025-05-07 09:00:00+00:00,10537.19745605551
2025-05-07 10:00:00+00:00,10538.38314621312
2025-05-07 11:00:00+00:00,10537.841574586408
2025-05-07 12:00:00+00:00,10537.026185207651
2025-05-07 13:00:00+00:00,10537.959348560467
2025-05-07 14:00:00+00:00,10536.640118347605
2025-05-07 15:00:00+00:00,10537.20109438194
2025-05-07 16:00:00+00:00,10535.651841087018
2025-05-07 17:00:00+00:00,10525.373568922958
2025-05-07 18:00:00+00:00,10530.018498998279
2025-05-07 19:00:00+00:00,10523.857734330057
2025-05-07 20:00:00+00:00,10533.002600434833
2025-05-07 21:00:00+00:00,10540.23963596211
2025-05-07 22:00:00+00:00,10541.999642684297
2025-05-07 23:00:00+00:00,10538.371153211185
2025-05-08 00:00:00+00:00,10548.421019327156
2025-05-08 01:00:00+00:00,10551.5212777038
2025-05-08 02:00:00+00:00,10566.737567350025
2025-05-08 03:00:00+00:00,10574.68690634055
2025-05-08 04:00:00+00:00,10571.6576627057
2025-05-08 05:00:00+00:00,10568.08132257808
2025-05-08 06:00:00+00:00,10572.579911079229
2025-05-08 07:00:00+00:00,10576.681113482548
2025-05-08 08:00:00+00:00,10584.593530197453
2025-05-08 09:00:00+00:00,10585.481955610467
2025-05-08 10:00:00+00:00,10587.045492705447
2025-05-08 11:00:00+00:00,10579.890521652085
2025-05-08 12:00:00+00:00,10577.498658906597
2025-05-08 13:00:00+00:00,10577.263110958478
2025-05-08 14:00:00+00:00,10580.728819012067
2025-05-08 15:00:00+00:00,10603.990661169959
2025-05-08 16:00:00+00:00,10612.272165888238
2025-05-08 17:00:00+00:00,10607.211119071617
2025-05-08 18:00:00+00:00,10613.286450445155
2025-05-08 19:00:00+00:00,10609.0438923224
2025-05-08 20:00:00+00:00,10633.4931764247
2025-05-08 21:00:00+00:00,10637.324334155232
2025-05-08 22:00:00+00:00,10639.721182755457
2025-05-08 23:00:00+00:00,10644.212225098083
2025-05-09 00:00:00+00:00,10637.013055116242
2025-05-09 01:00:00+00:00,10642.512857149726
2025-05-09 02:00:00+00:00,10633.032052237935
2025-05-09 03:00:00+00:00,10630.919666863385
2025-05-09 04:00:00+00:00,10637.425129272619
2025-05-09 05:00:00+00:00,10640.097951670183
2025-05-09 06:00:00+00:00,10644.558809378726
2025-05-09 07:00:00+00:00,10653.743292815738
2025-05-09 08:00:00+00:00,10639.889893299533
